director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Anees Bazmee,Akshay Kumar,Anil Kapoor,Katrina Kaif,Romance Comedy Hindi,welcome,Akshay Kumar Anil Kapoor Katrina Kaif Romance Comedy Hindi welcome
Shantanu Bagchi,Sidharth Malhotra,Rashmika Mandanna,Kumud Mishra,Action Thriller Hindi,mission majnu,Sidharth Malhotra Rashmika Mandanna Kumud Mishra Action Thriller
Tejas Deoskar,Rakul Preet Singh,Sumeet Vyas,Satish Kaushik,Comedy Hindi,chhatriwali,Rakul Preet SinghSumeet VyasSatish Kaushik Comedy Hindi
Siddharth Anand,Shah Rukh Khan, Deepika Padukone,John Abraham,Action Thriller Hindi,pathaan,Shah Rukh Khan Deepika Padukone John Abraham Action Thriller Hindi
Rajkumar Santoshi,Deepak Antani,Chinmay Mandlekar,Pawan Chopra,Drama Political History Hindi,gandhi godse ek yudh,Deepak Antani Chinmay Mandlekar Pawan Chopra Drama Political History Hindi
Rohit Dhawan,Kartik Aaryan,Kriti Sanon,Paresh Rawal,Action Drama Hindi, shezada, Kartik Aaryan Kriti Sanon Paresh Rawal Action Drama Hindi
Raj Mehta,Akshay Kumar,Emraan Hashmi,Diana Penty,Comedy Hindi,selfiee,Akshay Kumar Emraan Hashmi Diana Penty Comedy Hindi
Rahul V. Chittella,Manoj Bajpayee,Sharmila Tagore,Simran,Drama Hindi,gulmohar,Manoj Bajpayee Sharmila Tagore Simran Drama Hindi
Luv Ranjan,Ranbir Kapoor,Shraddha Kapoor,Anubhav Singh Bassi,Romance Comedy Hindi,tu jhoothi main makkaar,Ranbir Kapoor Shraddha Kapoor Anubhav Singh Bassi Romance Comedy Hindi
Ayan Mukerji,Ranbir Kapoor,Alia Bhatt,Amitabh Bachchan,Action Adventure Hindi,brahmāstra: part one – shiva,Ranbir Kapoor Alia Bhatt Amitabh Bachchan Action Adventure Hindi
Om Raut,Prabhas,Saif Ali Khan,Kriti Sanon,Action Drama History Hindi,adipurush,Prabhas Saif Ali Khan Kriti Sanon Action Drama History Hindi
Amar Kaushik,Kriti Sanon,Varun Dhawan,Abhishek Banerjee,Comedy Horror Hindi,bhediya,Kriti Sanon Varun Dhawan Abhishek Banerjee Comedy Horror Hindi
Rohit Shetty,Jacqueline Fernandez,Pooja Hegde,Ranveer Singh,Comedy Hindi,cirkus,Jacqueline Fernandez Pooja Hegde Ranveer Singh Comedy Hindi
Mohit Suri,Disha Patani,John Abraham,Arjun Kapoor,Action Thriller Hindi,ek villain returns,Disha Patani John Abraham Arjun Kapoor Action Thriller Hindi
Mani Ratnam,Aishwarya Rai Bachchan,Amitabh Bachchan,Aditi Rao Hydari,Drama Family Fantasy Indian,ponniyin selvan,Aishwarya Rai Bachchan Amitabh Bachchan Aditi Rao Hydari Drama Family Fantasy Indian
Harshavardhan Kulkarni,Rajkummar Rao,Bhumi Pednekar,Gulshan Devaiah,Comedy Hindi,badhaai do,Rajkummar Rao Bhumi Pednekar Gulshan Devaiah Comedy Hindi
Ranjit Tewari,Huma Qureshi,Akshay Kumar,Vaani Kapoor,Action Thriller Hindi,bellbottom,Huma Qureshi Akshay Kumar Vaani Kapoor Action Thriller Hindi
Anees Bazmee,Tabu,Kiara Advani,Kartik Aaryan,Comedy Horror Hindi,bhool bhulaiyaa 2,Tabu Kiara Advani Kartik Aaryan Comedy Horror Hindi
Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,Biography Drama History Hindi,'83,Ranveer Singh Deepika Padukone Tahir Raj Bhasin Biography Drama History Hindi
Pavan Kripalani,Yami Gautam,Saif Ali Khan,Jacqueline Fernandez,Comedy Hindi,bhoot police,Yami Gautam Saif Ali Khan Jacqueline Fernandez Comedy Hindi
Abhishek Dudhaiya,Sharad Kelkar,Ajay Devgn,Parineeti Chopra,Action Drama History Hindi,bhuj: the pride of india,Sharad Kelkar Ajay Devgn Parineeti Chopra Action Drama History Hindi
Varun V. Sharma,Rani Mukerji,Saif Ali Khan,Pankaj Tripathi,Romance Hindi,bunty aur babli 2,Rani Mukerji Saif Ali Khan Pankaj Tripathi Romance Hindi
Abhishek Kapoor,Ayushmann Khurrana,Vaani Kapoor,Leena Sharma,Romance Hindi,chandigarh kare aashiqui,Ayushmann Khurrana Vaani Kapoor Leena Sharma Romance Hindi
Jasmeet K Reen,Alia Bhatt,Shefali Shah,Vijay Varma,Drama Hindi,darlings,Alia Bhatt Shefali Shah Vijay Varma Drama Hindi
Siddharth Sengupta,Janhvi Kapoor,Sushant Singh,Mita Vashisht,Comedy Crime Drama Hindi,good luck jerry,Janhvi Kapoor Sushant Singh Mita Vashisht Comedy Crime Drama Hindi
Vinil Mathew,Taapsee Pannu,Vikrant Massey,Harshvardhan Rane,Crime Drama Mystery Hindi,haseen dillruba,Taapsee Pannu Vikrant Massey Harshvardhan Rane Crime Drama Mystery Hindi
Ahmed Khan,Tiger Shroff,Tara Sutaria,Sarwan Ali Palijo,Action Hindi,heropanti 2,Tiger Shroff Tara Sutaria Sarwan Ali Palijo Action Hindi
